B,P,C,X,N,Time
5,1,1,0,1,10.541055
5,1,5,0,1,10.570932
5,5,1,0,1,2.314746
5,5,5,0,1,2.319499
10,1,1,0,1,10.562955
10,1,5,0,1,10.556209
10,1,10,0,1,10.541831
10,5,1,0,1,2.322506
10,5,5,0,1,2.315914
10,5,10,0,1,2.317896
10,10,1,0,1,1.294696
10,10,5,0,1,1.302879
10,10,10,0,1,1.297346
5,1,1,200,1,10.766518
5,1,5,200,1,10.781354
5,5,1,200,1,10.475055
5,5,5,200,1,2.543167
10,1,1,200,1,10.795058
10,1,5,200,1,10.731548
10,1,10,200,1,10.756718
10,5,1,200,1,10.463502
10,5,5,200,1,2.515734
10,5,10,200,1,2.518144
10,10,1,200,1,10.467712
10,10,5,200,1,2.461327
10,10,10,200,1,1.497140
5,1,1,400,1,20.461897
5,1,5,400,1,10.955314
5,5,1,400,1,20.466394
5,5,5,400,1,4.481470
10,1,1,400,1,20.462462
10,1,5,400,1,10.940371
10,1,10,400,1,10.944530
10,5,1,400,1,20.462875
10,5,5,400,1,4.466122
10,5,10,400,1,2.729580
10,10,1,400,1,20.463507
10,10,5,400,1,4.462159
10,10,10,400,1,2.476156
