B,P,C,X,N,Time
5,1,1,0,1,0.012003
5,1,5,0,1,0.024980
5,5,1,0,1,0.004408
5,5,5,0,1,0.006100
10,1,1,0,1,0.024807
10,1,5,0,1,0.005113
10,1,10,0,1,0.009748
10,5,1,0,1,0.010198
10,5,5,0,1,0.010180
10,5,10,0,1,0.006053
10,10,1,0,1,0.004296
10,10,5,0,1,0.004740
10,10,10,0,1,0.007385
5,1,1,200,1,0.029965
5,1,5,200,1,0.056784
5,5,1,200,1,0.011282
5,5,5,200,1,0.029960
10,1,1,200,1,0.035659
10,1,5,200,1,0.011040
10,1,10,200,1,0.026691
10,5,1,200,1,0.002487
10,5,5,200,1,0.005314
10,5,10,200,1,0.003052
10,10,1,200,1,0.005803
10,10,5,200,1,0.004615
10,10,10,200,1,0.003542
5,1,1,400,1,0.001316
5,1,5,400,1,0.003256
5,5,1,400,1,0.002543
5,5,5,400,1,0.003931
10,1,1,400,1,0.002543
10,1,5,400,1,0.008210
10,1,10,400,1,0.015227
10,5,1,400,1,0.004247
10,5,5,400,1,0.007070
10,5,10,400,1,0.022279
10,10,1,400,1,0.003979
10,10,5,400,1,0.004561
10,10,10,400,1,0.003613
